CMDLINE python3 main.py
MEM 25369.382812 1707719545.7947
MEM 25369.382812 1707719545.8950
MEM 25369.382812 1707719545.9954
MEM 25369.382812 1707719546.0958
MEM 25369.382812 1707719546.1961
MEM 25369.382812 1707719546.2965
MEM 25369.382812 1707719546.3968
MEM 25369.382812 1707719546.4972
MEM 25369.382812 1707719546.5975
MEM 25369.382812 1707719546.6979
MEM 25369.382812 1707719546.7982
MEM 25369.382812 1707719546.8986
MEM 25369.382812 1707719546.9990
MEM 25371.511719 1707719547.0993
MEM 25371.511719 1707719547.1997
MEM 25371.511719 1707719547.3001
MEM 25371.511719 1707719547.4004
MEM 25371.511719 1707719547.5008
MEM 25371.511719 1707719547.6012
MEM 25371.511719 1707719547.7015
MEM 25371.511719 1707719547.8018
MEM 25371.511719 1707719547.9022
MEM 25371.511719 1707719548.0025
MEM 25371.511719 1707719548.1029
MEM 25371.511719 1707719548.2032
MEM 25371.511719 1707719548.3036
MEM 25371.511719 1707719548.4039
MEM 25371.511719 1707719548.5043
MEM 25371.511719 1707719548.6047
MEM 25371.511719 1707719548.7050
MEM 25371.511719 1707719548.8053
MEM 25371.511719 1707719548.9057
MEM 25371.511719 1707719549.0060
MEM 25371.511719 1707719549.1063
MEM 25371.511719 1707719549.2067
MEM 25371.511719 1707719549.3071
MEM 25371.511719 1707719549.4075
MEM 25371.511719 1707719549.5078
MEM 25371.511719 1707719549.6082
MEM 25371.511719 1707719549.7085
MEM 25371.511719 1707719549.8089
MEM 25371.511719 1707719549.9093
MEM 25371.511719 1707719550.0097
MEM 25373.542969 1707719550.1100
MEM 25373.542969 1707719550.2103
MEM 25373.542969 1707719550.3108
MEM 25373.542969 1707719550.4112
MEM 25373.542969 1707719550.5115
MEM 25373.542969 1707719550.6119
MEM 25373.542969 1707719550.7122
MEM 25373.542969 1707719550.8125
MEM 25373.542969 1707719550.9129
MEM 25373.542969 1707719551.0132
MEM 25373.542969 1707719551.1135
MEM 25373.542969 1707719551.2139
MEM 25373.542969 1707719551.3143
MEM 25373.542969 1707719551.4147
MEM 25373.542969 1707719551.5150
MEM 25373.542969 1707719551.6154
MEM 25373.542969 1707719551.7157
MEM 25373.542969 1707719551.8161
MEM 25373.542969 1707719551.9165
MEM 25373.542969 1707719552.0169
MEM 25373.542969 1707719552.1172
MEM 25373.542969 1707719552.2176
MEM 25373.542969 1707719552.3179
MEM 25373.542969 1707719552.4183
MEM 25373.542969 1707719552.5186
MEM 25373.542969 1707719552.6189
MEM 25373.542969 1707719552.7193
MEM 25373.542969 1707719552.8197
MEM 25373.542969 1707719552.9201
MEM 25373.542969 1707719553.0205
MEM 25375.535156 1707719553.1208
MEM 25375.535156 1707719553.2212
MEM 25375.535156 1707719553.3216
MEM 25375.535156 1707719553.4220
MEM 25375.535156 1707719553.5223
MEM 25375.535156 1707719553.6227
MEM 25375.535156 1707719553.7230
MEM 25375.535156 1707719553.8234
MEM 25375.535156 1707719553.9238
MEM 25375.535156 1707719554.0241
MEM 25375.535156 1707719554.1245
MEM 25375.535156 1707719554.2248
MEM 25375.535156 1707719554.3252
MEM 25375.535156 1707719554.4255
MEM 25375.535156 1707719554.5259
MEM 25375.535156 1707719554.6263
MEM 25375.535156 1707719554.7267
MEM 25375.535156 1707719554.8270
MEM 25375.535156 1707719554.9273
MEM 25375.535156 1707719555.0276
MEM 25375.535156 1707719555.1280
MEM 25375.535156 1707719555.2284
MEM 25375.535156 1707719555.3288
MEM 25375.535156 1707719555.4292
MEM 25375.535156 1707719555.5296
MEM 25375.535156 1707719555.6299
MEM 25375.535156 1707719555.7303
